time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.432008 , 4.023878,0.299039 , 1.083143,0.346010 , 3.934941,0.477014 , 35.899763,0.377010 , 15.399775,0.545003 , 13.900001,0.583998 , 29.900000
1.453686 , 4.023878,1.316031 , 1.083143,1.361011 , 3.934941,1.510631 , 35.907808,1.392006 , 15.383684,1.563774 , 13.900001,1.603454 , 29.900000
2.483361 , 4.023878,2.336054 , 1.083143,2.396715 , 3.934941,2.526032 , 35.891717,2.418653 , 15.359547,2.581007 , 13.900001,2.620003 , 29.800001
3.501007 , 4.023878,3.356035 , 1.083143,3.413022 , 3.934941,3.541005 , 35.891717,3.434014 , 15.359547,3.598007 , 13.900001,3.636005 , 29.800001
4.524988 , 4.023878,4.373031 , 1.083143,4.438793 , 3.934941,4.556055 , 35.883671,4.457273 , 15.343456,4.619978 , 13.900001,4.663134 , 29.800001
5.541031 , 4.023878,5.397440 , 1.083143,5.459574 , 3.934941,5.572005 , 35.891717,5.485394 , 15.343456,5.637001 , 13.900001,5.680006 , 29.900000
6.556016 , 4.023878,6.415040 , 1.083143,6.475011 , 3.934941,6.587009 , 35.891717,6.501009 , 15.343456,6.654004 , 13.900001,6.707864 , 29.800001
7.582653 , 4.023878,7.436992 , 1.083143,7.491173 , 3.934941,7.627613 , 35.891717,7.526607 , 15.343456,7.670091 , 13.900001,7.738921 , 29.800001
8.598013 , 4.023878,8.455093 , 1.084110,8.507053 , 3.934941,8.643008 , 35.891717,8.542025 , 15.359547,8.687005 , 13.900001,8.755004 , 29.900000
9.613012 , 4.025812,9.479039 , 1.083143,9.522014 , 3.934941,9.658010 , 35.891717,9.557010 , 15.359547,9.728704 , 13.900001,9.781675 , 29.900000
10.629541 , 4.025812,10.501976 , 1.083143,10.543101 , 3.935907,10.698625 , 35.891717,10.574400 , 15.359547,10.757099 , 13.900001,10.799017 , 29.800001
11.645007 , 4.025812,11.524041 , 1.083143,11.559019 , 3.934941,11.714013 , 35.891717,11.602009 , 15.359547,11.774007 , 13.900001,11.816005 , 29.800001
12.660011 , 4.025812,12.541040 , 1.083143,12.574015 , 3.935907,12.732604 , 35.891717,12.617016 , 15.359547,12.795096 , 13.900001,12.840238 , 29.800001
13.688054 , 4.025812,13.558048 , 1.083143,13.590607 , 3.935907,13.760097 , 35.875626,13.634196 , 15.383684,13.812020 , 13.900001,13.857003 , 29.800001
14.704007 , 4.025812,14.575033 , 1.083143,14.606013 , 3.935907,14.776009 , 35.875626,14.650011 , 15.383684,14.829003 , 13.900001,14.873000 , 29.800001
15.735257 , 4.025812,15.592040 , 1.083143,15.621016 , 3.935907,15.801099 , 35.875626,15.665016 , 15.383684,15.870392 , 13.900001,15.890661 , 29.800001
16.760106 , 4.025812,16.618892 , 1.083143,16.638662 , 3.935907,16.817025 , 35.875626,16.681117 , 15.399775,16.887011 , 13.900001,16.907010 , 29.800001
17.776009 , 4.025812,17.636035 , 1.083143,17.654025 , 3.935907,17.832008 , 35.875626,17.697012 , 15.399775,17.903005 , 13.900001,17.923001 , 29.800001
18.802099 , 4.025812,18.653023 , 1.083143,18.669015 , 3.935907,18.873702 , 35.875626,18.719137 , 15.399775,18.933779 , 13.900001,18.961511 , 29.800001
19.818027 , 4.025812,19.679392 , 1.083143,19.705389 , 3.935907,19.889011 , 35.875626,19.751053 , 15.399775,19.950008 , 13.900001,19.978007 , 29.800001
20.833014 , 4.025812,20.697036 , 1.083143,20.721025 , 3.935907,20.904012 , 35.875626,20.767016 , 15.399775,20.972841 , 13.900001,20.998064 , 29.800001
21.862611 , 4.025812,21.717158 , 1.083143,21.748583 , 3.935907,21.933535 , 35.875626,21.791100 , 15.399775,21.997019 , 13.900001,22.014016 , 29.800001
22.878011 , 4.025812,22.739099 , 1.083143,22.764024 , 3.935907,22.953014 , 35.875626,22.807015 , 15.391729,23.014006 , 13.900001,23.031005 , 29.800001
23.893011 , 4.025812,23.756044 , 1.083143,23.779016 , 3.935907,23.972573 , 35.867580,23.822013 , 15.383684,24.047098 , 13.900001,24.064039 , 29.800001
24.927601 , 4.025812,24.774084 , 1.083143,24.795001 , 3.937841,24.992149 , 35.867580,24.838964 , 15.383684,25.064018 , 13.900001,25.081009 , 29.800001
25.943016 , 4.025812,25.790649 , 1.084110,25.810021 , 3.935907,26.008011 , 35.859535,25.855013 , 15.359547,26.080021 , 13.900001,26.097010 , 29.800001
26.971438 , 4.025812,26.807038 , 1.084110,26.825016 , 3.935907,27.029220 , 35.859535,26.870013 , 15.359547,27.099071 , 13.900001,27.141312 , 29.800001
27.989143 , 4.025812,27.824040 , 1.083143,27.842237 , 3.935907,28.045035 , 35.875626,27.891114 , 15.359547,28.115008 , 13.900001,28.157007 , 29.800001
29.005020 , 4.025812,28.841036 , 1.083143,28.858014 , 3.937841,29.060017 , 35.867580,28.917015 , 15.359547,29.132010 , 13.900001,29.173005 , 29.800001
30.036550 , 4.025812,29.858029 , 1.084110,29.874015 , 3.937841,30.075990 , 35.875626,29.932016 , 15.359547,30.164984 , 13.900001,30.193313 , 29.800001
31.052045 , 4.026778,30.880177 , 1.083143,30.897962 , 3.935907,31.091012 , 35.859535,30.980111 , 15.351502,31.182010 , 13.900001,31.210006 , 29.800001
32.068016 , 4.026778,31.898047 , 1.083143,31.914018 , 3.937841,32.106014 , 35.859535,31.996018 , 15.343456,32.199008 , 13.900001,32.228788 , 29.800001
33.084046 , 4.025812,32.915036 , 1.083143,32.931021 , 3.935907,33.129069 , 35.859535,33.015330 , 15.335411,33.222625 , 13.900001,33.252105 , 29.800001
34.099015 , 4.026778,33.934651 , 1.083143,33.955072 , 3.937841,34.145015 , 35.859535,34.032046 , 15.335411,34.239010 , 13.900001,34.269005 , 29.800001
35.114015 , 4.026778,34.952045 , 1.083143,34.971020 , 3.937841,35.160015 , 35.859535,35.048018 , 15.343456,35.261052 , 13.900001,35.297137 , 29.800001
36.138696 , 4.025812,35.974619 , 1.083143,35.999840 , 3.937841,36.176266 , 35.859535,36.064002 , 15.343456,36.278049 , 13.900001,36.314009 , 29.800001
37.154015 , 4.026778,37.003105 , 1.083143,37.023021 , 3.937841,37.192015 , 35.859535,37.079028 , 15.359547,37.294011 , 13.900001,37.331009 , 29.800001
38.169016 , 4.026778,38.020046 , 1.083143,38.038019 , 3.937841,38.206994 , 35.859535,38.095018 , 15.359547,38.311017 , 13.900001,38.348015 , 29.800001
39.211520 , 4.026778,39.044786 , 1.083143,39.061091 , 3.937841,39.252530 , 35.859535,39.137607 , 15.359547,39.327027 , 13.900001,39.365014 , 29.800001
40.227015 , 4.026778,40.062046 , 1.083143,40.078019 , 3.937841,40.268016 , 35.859535,40.153017 , 15.383684,40.344008 , 13.900001,40.382011 , 29.800001
41.243198 , 4.026778,41.079039 , 1.083143,41.095018 , 3.937841,41.298591 , 35.859535,41.168014 , 15.383684,41.367103 , 13.900001,41.414652 , 29.800001
42.262109 , 4.026778,42.096038 , 1.083143,42.114052 , 3.937841,42.314024 , 35.859535,42.198937 , 15.383684,42.384014 , 13.900001,42.433010 , 29.800001
43.278016 , 4.026778,43.113048 , 1.083143,43.129020 , 3.938808,43.329015 , 35.859535,43.228016 , 15.351502,43.400016 , 13.900001,43.449010 , 29.800001
44.302475 , 4.026778,44.129038 , 1.083143,44.145020 , 3.937841,44.345038 , 35.859535,44.269887 , 15.343456,44.426714 , 13.900001,44.494632 , 29.800001
