time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.632714 , 4.303258,0.600739 , 1.192382,0.672711 , 4.166951,0.737708 , 31.193133,0.696708 , 9.558727,0.757708 , 17.800001,0.787702 , 14.500000
1.657864 , 4.304224,1.617739 , 1.192382,1.691867 , 4.167918,1.753747 , 31.136814,1.725543 , 9.550681,1.774713 , 17.900000,1.818608 , 14.500000
2.693612 , 4.305191,2.651793 , 1.194315,2.710804 , 4.168885,2.769710 , 31.120723,2.740718 , 9.550681,2.791706 , 17.900000,2.834700 , 14.500000
3.708725 , 4.306158,3.668735 , 1.192382,3.726709 , 4.169852,3.784707 , 31.080495,3.755710 , 9.534590,3.807702 , 17.900000,3.850699 , 14.500000
4.735792 , 4.307124,4.689155 , 1.194315,4.751737 , 4.170818,4.800974 , 31.040268,4.770717 , 9.518499,4.830473 , 17.900000,4.867887 , 14.500000
5.751717 , 4.307124,5.705770 , 1.194315,5.767711 , 4.170818,5.816707 , 31.008086,5.785708 , 9.502408,5.849705 , 17.900000,5.884701 , 14.500000
6.766714 , 4.308091,6.722734 , 1.194315,6.782710 , 4.171785,6.831709 , 30.983949,6.800683 , 9.494363,6.866705 , 17.900000,6.911268 , 14.500000
7.781735 , 4.308091,7.738767 , 1.194315,7.803253 , 4.171785,7.870191 , 30.943722,7.827032 , 9.486317,7.897471 , 17.900000,7.956813 , 14.500000
8.796716 , 4.308091,8.755740 , 1.194315,8.818710 , 4.172752,8.885706 , 30.895448,8.842710 , 9.478272,8.914702 , 17.900000,8.973702 , 14.400001
9.811714 , 4.309058,9.772741 , 1.194315,9.833713 , 4.173718,9.913519 , 30.887403,9.857710 , 9.454135,9.933012 , 17.900000,9.993792 , 14.400001
10.844480 , 4.309058,10.791180 , 1.194315,10.870640 , 4.173718,10.934683 , 30.831084,10.903623 , 9.438044,10.972792 , 17.900000,11.010712 , 14.400001
11.860715 , 4.310025,11.810741 , 1.194315,11.885716 , 4.175652,11.950710 , 30.798902,11.918715 , 9.421953,11.989705 , 17.900000,12.027703 , 14.400001
12.875715 , 4.309058,12.827727 , 1.194315,12.917573 , 4.175652,12.968879 , 30.782811,12.940291 , 9.421953,13.005751 , 17.900000,13.051234 , 14.400001
13.899019 , 4.310025,13.857076 , 1.194315,13.941503 , 4.175652,13.993733 , 30.750629,13.977795 , 9.413907,14.022708 , 17.900000,14.067710 , 14.400001
14.914718 , 4.310025,14.873744 , 1.194315,14.956715 , 4.175652,15.009711 , 30.702356,14.993710 , 9.389771,15.038707 , 17.900000,15.084705 , 14.400001
15.936474 , 4.310025,15.892860 , 1.194315,15.984972 , 4.175652,16.025718 , 30.670174,16.009695 , 9.397816,16.057354 , 17.900000,16.108999 , 14.400001
16.955786 , 4.310025,16.912770 , 1.194315,17.000737 , 4.176618,17.040712 , 30.654083,17.024714 , 9.381725,17.074707 , 17.900000,17.125709 , 14.300000
17.971727 , 4.310025,17.929736 , 1.194315,18.015715 , 4.176618,18.055713 , 30.613855,18.039716 , 9.365634,18.091709 , 17.900000,18.148320 , 14.300000
19.002794 , 4.310025,18.954940 , 1.194315,19.031721 , 4.176618,19.089124 , 30.589719,19.056999 , 9.349543,19.119304 , 17.900000,19.174206 , 14.300000
20.018720 , 4.309058,19.971755 , 1.194315,20.046713 , 4.176618,20.104714 , 30.573628,20.072713 , 9.341498,20.135707 , 17.900000,20.190708 , 14.300000
21.033718 , 4.309058,20.988736 , 1.194315,21.061711 , 4.176618,21.119712 , 30.549491,21.087712 , 9.325407,21.173127 , 17.900000,21.213059 , 14.300000
