time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.407812 , 4.463732,0.385260 , 0.953604,0.520014 , 4.426030,0.473782 , 38.884651,0.550999 , 14.209038,0.728716 , 6.900000,0.782698 , 14.400001
1.423705 , 4.465665,1.402725 , 0.953604,1.535704 , 4.426997,1.489700 , 38.852469,1.566702 , 14.225129,1.744697 , 6.900000,1.799702 , 14.400001
2.438706 , 4.466632,2.419732 , 0.953604,2.550703 , 4.428930,2.504704 , 38.820287,2.595478 , 14.241220,2.769006 , 6.900000,2.828740 , 14.400001
3.473795 , 4.467599,3.443844 , 0.953604,3.582157 , 4.430863,3.525918 , 38.804196,3.610734 , 14.257311,3.784716 , 6.900000,3.845696 , 14.400001
4.489705 , 4.468565,4.461727 , 0.953604,4.597706 , 4.430863,4.551703 , 38.772014,4.625704 , 14.257311,4.801249 , 6.900000,4.874375 , 14.400001
5.504707 , 4.469532,5.477725 , 0.953604,5.647486 , 4.431830,5.566702 , 38.739831,5.682858 , 14.249266,5.831262 , 6.900000,5.891730 , 14.300000
6.526776 , 4.470499,6.493744 , 0.953604,6.662724 , 4.432797,6.583966 , 38.707649,6.698703 , 14.241220,6.847713 , 6.900000,6.907699 , 14.400001
7.542705 , 4.470499,7.510726 , 0.953604,7.677700 , 4.433764,7.599712 , 38.675467,7.713700 , 14.217083,7.865279 , 6.900000,7.931635 , 14.300000
8.557716 , 4.471465,8.526719 , 0.953604,8.715359 , 4.433764,8.633289 , 38.643285,8.731778 , 14.192947,8.881728 , 6.900000,8.947704 , 14.300000
9.585794 , 4.471465,9.554825 , 0.953604,9.730710 , 4.433764,9.652737 , 38.586967,9.746708 , 14.160765,9.898699 , 6.900000,9.963696 , 14.300000
10.601718 , 4.471465,10.572728 , 0.953604,10.745701 , 4.434730,10.667704 , 38.578921,10.761705 , 14.144674,10.932020 , 6.900000,10.979774 , 14.300000
11.654660 , 4.472432,11.590433 , 0.953604,11.764994 , 4.434730,11.690649 , 38.546739,11.788224 , 14.112492,11.948718 , 6.900000,11.995698 , 14.300000
12.669705 , 4.471465,12.618743 , 0.953604,12.780705 , 4.434730,12.705702 , 38.506511,12.803702 , 14.080310,12.964701 , 6.900000,13.011696 , 14.300000
13.684719 , 4.472432,13.635729 , 0.953604,13.795706 , 4.434730,13.720708 , 38.490420,13.818705 , 14.072264,13.980775 , 6.900000,14.030479 , 14.300000
14.705014 , 4.471465,14.651780 , 0.953604,14.816861 , 4.434730,14.735733 , 38.466284,14.838205 , 14.040082,14.997715 , 6.900000,15.046713 , 14.200000
15.720709 , 4.471465,15.667736 , 0.953604,15.833705 , 4.434730,15.750705 , 38.434102,15.853704 , 14.015945,16.013702 , 6.900000,16.063694 , 14.200000
16.735709 , 4.471465,16.683736 , 0.953604,16.852409 , 4.434730,16.765706 , 38.409965,16.873439 , 13.999854,17.033942 , 6.900000,17.089255 , 14.200000
17.751742 , 4.471465,17.707296 , 0.953604,17.867746 , 4.434730,17.786827 , 38.377783,17.888712 , 13.983763,18.049703 , 6.900000,18.107699 , 14.200000
18.766721 , 4.471465,18.738730 , 0.953604,18.882710 , 4.434730,18.802709 , 38.361692,18.903710 , 13.967672,19.066730 , 6.900000,19.125043 , 14.200000
19.781705 , 4.471465,19.755737 , 0.953604,19.909082 , 4.434730,19.817704 , 38.345601,19.943528 , 13.959627,20.098762 , 6.900000,20.140728 , 14.200000
20.819770 , 4.471465,20.785254 , 0.953604,20.924736 , 4.434730,20.851140 , 38.313419,20.959708 , 13.943536,21.114704 , 6.900000,21.156706 , 14.200000
21.835728 , 4.471465,21.802732 , 0.953604,21.940712 , 4.434730,21.866706 , 38.297328,21.974708 , 13.927445,22.158338 , 6.900000,22.193085 , 14.200000
22.859349 , 4.471465,22.819736 , 0.953604,22.974842 , 4.434730,22.900570 , 38.281237,22.990774 , 13.903308,23.174716 , 6.900000,23.209703 , 14.200000
23.874743 , 4.471465,23.845500 , 0.953604,23.990705 , 4.426030,23.915710 , 38.265146,24.006708 , 13.903308,24.191704 , 6.900000,24.225696 , 15.300000
24.890709 , 4.449231,24.861741 , 0.953604,25.005704 , 4.407662,24.930711 , 38.249055,25.021704 , 14.136628,25.224937 , 6.900000,25.241761 , 16.800001
25.913910 , 4.408629,25.883640 , 0.952637,26.023425 , 4.365127,25.968166 , 38.232964,26.044584 , 15.713550,26.241737 , 6.900000,26.258701 , 17.400000
26.932710 , 4.388328,26.899739 , 0.952637,27.040705 , 4.321625,26.986709 , 38.208827,27.059705 , 17.234154,27.257702 , 6.800000,27.274697 , 17.500000
27.947713 , 4.349660,27.916740 , 0.951671,28.055716 , 4.304224,28.001711 , 38.168599,28.074710 , 20.186860,28.275172 , 6.800000,28.296676 , 17.600000
28.980795 , 4.316792,28.947487 , 0.951671,29.074420 , 4.271356,29.017735 , 38.088144,29.094852 , 22.262604,29.293722 , 6.700000,29.313701 , 17.600000
29.996724 , 4.300358,29.964732 , 0.951671,30.089708 , 4.251055,30.032711 , 38.023780,30.110708 , 23.139566,30.309704 , 6.700000,30.330700 , 17.600000
31.011711 , 4.295524,30.981722 , 0.951671,31.104707 , 4.243322,31.047706 , 37.951370,31.139324 , 23.284386,31.329481 , 6.700000,31.358602 , 17.600000
32.050324 , 4.292624,31.998723 , 0.950704,32.126794 , 4.242355,32.069259 , 37.862870,32.154717 , 23.018883,32.345711 , 6.700000,32.375707 , 17.600000
33.065721 , 4.290690,33.015724 , 0.950704,33.142707 , 4.241388,33.099708 , 37.806551,33.169706 , 22.479833,33.370719 , 6.700000,33.403611 , 17.700001
34.080717 , 4.291657,34.031740 , 0.950704,34.172001 , 4.240421,34.119906 , 37.782414,34.198533 , 22.029284,34.386743 , 6.700000,34.420706 , 17.700001
35.115123 , 4.291657,35.056243 , 0.950704,35.187731 , 4.241388,35.135724 , 37.774369,35.222712 , 21.168414,35.402706 , 6.700000,35.436702 , 17.700001
36.132723 , 4.293591,36.072732 , 0.950704,36.202709 , 4.242355,36.150709 , 37.790460,36.237709 , 20.331679,36.428144 , 6.700000,36.462434 , 17.700001
37.161810 , 4.295524,37.089725 , 0.950704,37.228031 , 4.246222,37.197582 , 37.822642,37.257789 , 19.969631,37.444732 , 6.700000,37.478707 , 17.400000
38.177724 , 4.301324,38.110681 , 0.950704,38.252710 , 4.252022,38.212713 , 37.887006,38.273708 , 19.165079,38.461715 , 6.700000,38.494702 , 17.000000
39.192724 , 4.312925,39.127733 , 0.950704,39.267711 , 4.264589,39.227713 , 37.951370,39.288711 , 18.111116,39.494698 , 6.700000,39.511772 , 16.900000
40.216185 , 4.325492,40.148779 , 0.950704,40.289259 , 4.277156,40.254064 , 38.039871,40.311289 , 17.049107,40.510740 , 6.700000,40.528708 , 16.700001
41.231714 , 4.332259,41.165739 , 0.950704,41.306709 , 4.283923,41.269716 , 38.080099,41.326709 , 16.453738,41.527711 , 6.700000,41.545702 , 16.200001
42.246717 , 4.354493,42.182742 , 0.951671,42.321711 , 4.308091,42.284712 , 38.184690,42.341709 , 15.335411,42.562007 , 6.700000,42.582798 , 15.800000
43.262697 , 4.378661,43.212191 , 0.951671,43.345283 , 4.332259,43.312591 , 38.297328,43.376784 , 14.305584,43.578736 , 6.800000,43.601708 , 15.500000
44.277710 , 4.391228,44.228742 , 0.952637,44.360709 , 4.357393,44.327711 , 38.353646,44.392711 , 13.734352,44.594705 , 6.800000,44.618703 , 15.400001
45.292713 , 4.416363,45.245741 , 0.952637,45.388468 , 4.372861,45.342709 , 38.474329,45.442657 , 12.736708,45.623797 , 6.800000,45.640783 , 15.300000
