time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.234735 , 4.450198,0.218961 , 0.949737,0.283662 , 4.410563,0.267684 , 37.959416,0.341442 , 14.844634,0.390947 , 6.600000,0.442829 , 14.600000
1.251668 , 4.453098,1.235690 , 0.949737,1.298661 , 4.414429,1.282661 , 37.959416,1.356666 , 14.812452,1.407659 , 6.600000,1.459654 , 14.600000
2.268666 , 4.454065,2.252701 , 0.949737,2.313662 , 4.416363,2.297664 , 37.959416,2.371664 , 14.812452,2.435360 , 6.600000,2.476738 , 14.500000
3.285669 , 4.455998,3.269687 , 0.949737,3.345815 , 4.418296,3.315700 , 37.943325,3.414697 , 14.788315,3.463745 , 6.600000,3.492664 , 14.500000
4.302667 , 4.458898,4.286688 , 0.949737,4.361660 , 4.420230,4.331662 , 37.943325,4.429671 , 14.772224,4.480661 , 6.600000,4.508655 , 14.500000
5.319667 , 4.459865,5.303699 , 0.949737,5.376666 , 4.422163,5.346666 , 37.927234,5.447360 , 14.748088,5.497702 , 6.600000,5.524667 , 14.500000
6.348289 , 4.462765,6.324031 , 0.949737,6.420179 , 4.423130,6.365758 , 37.927234,6.467753 , 14.731997,6.514666 , 6.600000,6.540659 , 14.500000
7.364668 , 4.464698,7.348697 , 0.949737,7.435666 , 4.426030,7.381668 , 37.911143,7.483666 , 14.715906,7.531661 , 6.600000,7.556658 , 14.500000
8.381667 , 4.466632,8.365701 , 0.949737,8.453594 , 4.427963,8.407696 , 37.911143,8.499720 , 14.715906,8.547678 , 6.600000,8.589077 , 14.400001
9.409076 , 4.466632,9.382826 , 0.949737,9.469649 , 4.428930,9.433097 , 37.887006,9.515669 , 14.699815,9.564663 , 6.600000,9.605659 , 14.400001
10.424668 , 4.468565,10.399695 , 0.950704,10.484665 , 4.430863,10.448665 , 37.887006,10.530666 , 14.691769,10.580661 , 6.600000,10.621657 , 14.400001
11.457273 , 4.469532,11.425821 , 0.949737,11.502748 , 4.431830,11.488427 , 37.870915,11.545677 , 14.675678,11.602169 , 6.600000,11.671485 , 14.400001
12.472650 , 4.470499,12.453384 , 0.949737,12.519669 , 4.432797,12.503673 , 37.862870,12.560668 , 14.675678,12.618665 , 6.600000,12.687661 , 14.400001
13.487670 , 4.471465,13.470698 , 0.949737,13.534662 , 4.433764,13.518664 , 37.862870,13.575670 , 14.659587,13.634661 , 6.600000,13.711740 , 14.300000
14.506642 , 4.472432,14.491031 , 0.949737,14.549666 , 4.434730,14.533680 , 37.846779,14.606972 , 14.635451,14.657093 , 6.600000,14.727700 , 14.300000
