time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.324574 , 3.942674,0.343562 , 1.166280,0.363559 , 3.867271,0.388560 , 33.743563,0.428560 , 13.251621,0.551782 , 17.000000,0.578542 , 25.300001
1.341590 , 3.942674,1.358563 , 1.166280,1.390889 , 3.867271,1.407640 , 33.743563,1.443647 , 13.251621,1.567588 , 17.000000,1.594555 , 25.300001
2.358584 , 3.943641,2.374565 , 1.166280,2.406561 , 3.868238,2.423560 , 33.743563,2.459557 , 13.251621,2.584556 , 17.000000,2.610552 , 25.300001
3.375598 , 3.943641,3.391564 , 1.166280,3.421563 , 3.868238,3.438561 , 33.743563,3.496178 , 13.235530,3.600589 , 17.000000,3.639760 , 25.400000
4.411094 , 3.943641,4.434934 , 1.166280,4.474475 , 3.867271,4.497691 , 33.743563,4.527130 , 13.219439,4.617587 , 17.000000,4.655556 , 25.400000
5.428594 , 3.943641,5.450568 , 1.166280,5.489563 , 3.867271,5.513560 , 33.767699,5.542561 , 13.219439,5.633556 , 17.000000,5.671555 , 25.400000
6.445592 , 3.942674,6.465567 , 1.166280,6.511665 , 3.868238,6.529648 , 33.767699,6.559413 , 13.219439,6.658450 , 17.000000,6.699452 , 25.400000
7.482510 , 3.943641,7.513059 , 1.166280,7.535649 , 3.867271,7.551591 , 33.767699,7.574566 , 13.219439,7.674562 , 17.000000,7.716555 , 25.400000
8.499585 , 3.943641,8.536563 , 1.166280,8.552562 , 3.868238,8.568563 , 33.767699,8.589562 , 13.219439,8.691557 , 17.000000,8.739972 , 25.400000
9.530959 , 3.943641,9.561572 , 1.166280,9.579670 , 3.867271,9.595596 , 33.767699,9.611568 , 13.211393,9.713929 , 17.000000,9.772916 , 25.400000
10.547607 , 3.943641,10.581571 , 1.166280,10.597571 , 3.868238,10.613568 , 33.767699,10.629564 , 13.219439,10.729557 , 17.000000,10.789558 , 25.400000
11.564594 , 3.942674,11.596566 , 1.166280,11.612562 , 3.868238,11.628561 , 33.767699,11.644561 , 13.219439,11.754751 , 17.000000,11.815959 , 25.400000
12.581606 , 3.943641,12.611565 , 1.166280,12.627563 , 3.867271,12.646501 , 33.767699,12.668753 , 13.219439,12.776390 , 17.000000,12.832572 , 25.400000
13.598596 , 3.943641,13.626567 , 1.166280,13.642561 , 3.868238,13.661561 , 33.767699,13.684562 , 13.219439,13.793560 , 17.000000,13.848559 , 25.400000
14.615595 , 3.943641,14.641567 , 1.166280,14.657567 , 3.868238,14.676564 , 33.767699,14.699564 , 13.219439,14.817629 , 17.000000,14.864574 , 25.400000
15.632589 , 3.943641,15.698981 , 1.166280,15.672613 , 3.868238,15.732357 , 33.767699,15.752830 , 13.219439,15.834565 , 17.000000,15.880558 , 25.400000
16.649595 , 3.943641,16.714564 , 1.166280,16.688566 , 3.868238,16.747561 , 33.767699,16.768562 , 13.235530,16.850563 , 17.000000,16.896555 , 25.300001
17.666594 , 3.943641,17.729563 , 1.166280,17.703563 , 3.868238,17.770539 , 33.767699,17.791453 , 13.219439,17.866592 , 17.000000,17.926119 , 25.300001
18.691066 , 3.943641,18.759246 , 1.166280,18.724443 , 3.868238,18.788623 , 33.767699,18.806543 , 13.219439,18.883563 , 17.000000,18.943560 , 25.300001
19.710588 , 3.944608,19.777566 , 1.166280,19.739566 , 3.871138,19.803561 , 33.767699,19.821562 , 13.211393,19.899559 , 17.000000,19.959559 , 24.900000
20.727596 , 3.946541,20.794674 , 1.166280,20.761855 , 3.872105,20.826069 , 33.767699,20.842633 , 13.106802,20.925511 , 17.000000,20.995988 , 24.800001
21.771895 , 3.950408,21.810573 , 1.166280,21.787631 , 3.875971,21.841567 , 33.767699,21.857566 , 12.704525,21.941559 , 17.000000,22.012556 , 24.800001
22.788590 , 3.953308,22.825569 , 1.166280,22.804579 , 3.879838,22.856567 , 33.767699,22.872566 , 12.422932,22.958562 , 17.000000,23.040556 , 24.800001
23.808804 , 3.955242,23.846595 , 1.167247,23.830657 , 3.881772,23.871568 , 33.783790,23.887564 , 12.012611,23.982639 , 17.000000,24.057601 , 24.700001
24.826596 , 3.958142,24.862565 , 1.167247,24.846571 , 3.884672,24.886566 , 33.799882,24.902565 , 11.755154,25.010555 , 17.000000,25.074568 , 24.700001
25.843598 , 3.961042,25.877568 , 1.167247,25.861570 , 3.886605,25.901565 , 33.832064,25.917566 , 11.682744,26.037593 , 17.100000,26.091616 , 24.800001
26.860589 , 3.963942,26.892564 , 1.169181,26.876571 , 3.889505,26.930642 , 33.840109,26.965777 , 11.650562,27.054570 , 17.100000,27.108564 , 24.800001
27.877602 , 3.965875,27.909568 , 1.169181,27.893569 , 3.891439,27.946477 , 33.880337,27.981567 , 11.714926,28.070564 , 17.100000,28.125560 , 24.800001
28.894590 , 3.967809,28.926569 , 1.169181,28.910568 , 3.894339,28.961567 , 33.928610,29.021645 , 11.859746,29.090660 , 17.100000,29.142569 , 24.800001
29.912824 , 3.969742,29.952721 , 1.170147,29.932570 , 3.895306,30.002788 , 33.968837,30.040654 , 11.940201,30.106590 , 17.100000,30.159565 , 24.800001
30.929592 , 3.971676,30.977571 , 1.170147,30.947581 , 3.897239,31.018565 , 34.009065,31.056565 , 12.093066,31.123560 , 17.100000,31.176563 , 24.700001
31.946591 , 3.973609,31.992567 , 1.170147,31.962570 , 3.901106,32.042615 , 34.049293,32.080193 , 12.229840,32.139577 , 17.100000,32.219088 , 24.700001
32.984424 , 3.975543,33.030810 , 1.170147,33.005453 , 3.903039,33.058575 , 34.081475,33.095578 , 12.302249,33.156564 , 17.100000,33.235563 , 24.700001
34.001591 , 3.977476,34.054568 , 1.171114,34.020581 , 3.904006,34.073566 , 34.113657,34.110565 , 12.439023,34.172561 , 17.100000,34.253938 , 24.700001
