time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.759183 , 4.184352,0.797104 , 1.200115,0.864275 , 4.129250,0.916119 , 32.898783,0.963101 , 10.652918,1.002084 , 18.100000,0.013182 , 19.700001
1.776120 , 4.184352,1.812091 , 1.200115,1.880091 , 4.129250,1.932090 , 32.882692,1.978090 , 10.652918,2.018087 , 18.100000,1.030079 , 19.700001
2.793105 , 4.184352,2.827092 , 1.200115,2.907057 , 4.130216,2.949423 , 32.874647,3.012503 , 10.636827,3.035074 , 18.100000,2.046083 , 19.700001
3.810278 , 4.184352,3.845834 , 1.200115,3.926128 , 4.130216,3.986094 , 32.850510,4.028097 , 10.636827,4.051083 , 18.100000,3.072617 , 19.700001
4.828117 , 4.184352,4.866094 , 1.200115,4.941095 , 4.130216,5.001088 , 32.858556,5.043090 , 10.636827,5.067083 , 18.100000,4.089082 , 19.700001
5.845106 , 4.185319,5.894629 , 1.200115,5.974809 , 4.130216,6.028178 , 32.842465,6.058104 , 10.628781,6.092771 , 18.100000,5.105097 , 19.700001
6.874710 , 4.185319,6.919169 , 1.200115,6.990115 , 4.131183,7.044094 , 32.826373,7.073091 , 10.628781,7.109085 , 18.100000,6.124222 , 19.700001
7.892113 , 4.185319,7.935094 , 1.200115,8.005095 , 4.131183,8.059091 , 32.802237,8.088091 , 10.612690,8.148351 , 18.100000,7.140082 , 19.700001
8.912284 , 4.185319,8.976288 , 1.200115,9.030178 , 4.131183,9.084074 , 32.802237,9.110458 , 10.612690,9.172172 , 18.100000,8.175315 , 19.700001
9.929127 , 4.185319,9.992094 , 1.200115,10.046104 , 4.131183,10.100091 , 32.786146,10.126093 , 10.612690,10.189086 , 18.100000,9.191115 , 19.700001
10.946124 , 4.185319,11.007092 , 1.200115,11.061092 , 4.131183,11.117119 , 32.770055,11.144008 , 10.588553,11.215904 , 18.100000,10.207085 , 19.700001
11.970491 , 4.185319,12.026229 , 1.200115,12.081636 , 4.132150,12.146636 , 32.770055,12.177177 , 10.588553,12.232101 , 18.100000,11.259157 , 19.700001
12.995123 , 4.187252,13.042094 , 1.200115,13.097096 , 4.132150,13.162094 , 32.753964,13.193093 , 10.588553,13.249087 , 18.100000,12.275087 , 19.700001
14.012124 , 4.187252,14.057097 , 1.200115,14.112027 , 4.132150,14.192141 , 32.753964,14.216024 , 10.588553,14.276186 , 18.100000,13.291084 , 19.700001
15.031174 , 4.187252,15.072136 , 1.200115,15.133707 , 4.132150,15.208118 , 32.745918,15.249090 , 10.572462,15.293089 , 18.100000,14.307119 , 19.700001
16.048119 , 4.187252,16.087106 , 1.200115,16.149092 , 4.132150,16.223090 , 32.745918,16.264089 , 10.572462,16.309085 , 18.100000,15.324083 , 19.700001
17.065121 , 4.187252,17.102096 , 1.200115,17.196802 , 4.132150,17.239153 , 32.745918,17.289179 , 10.572462,17.325082 , 18.100000,16.341082 , 19.700001
18.088747 , 4.187252,18.134590 , 1.200115,18.212117 , 4.132150,18.255096 , 32.721782,18.305093 , 10.572462,18.342090 , 18.100000,17.377429 , 19.700001
19.106109 , 4.187252,19.153096 , 1.200115,19.227092 , 4.132150,19.270092 , 32.729827,19.320040 , 10.564417,19.358089 , 18.100000,18.394085 , 19.700001
20.124941 , 4.188219,20.175758 , 1.200115,20.262116 , 4.133116,20.291181 , 32.729827,20.354396 , 10.556371,20.378696 , 18.100000,19.413155 , 19.700001
21.156078 , 4.188219,21.191129 , 1.200115,21.279098 , 4.133116,21.307093 , 32.697645,21.370091 , 10.556371,21.395091 , 18.100000,20.436174 , 19.600000
22.182108 , 4.188219,22.206108 , 1.200115,22.294093 , 4.133116,22.322093 , 32.705691,22.396149 , 10.556371,22.432023 , 18.100000,21.453085 , 19.600000
23.199190 , 4.188219,23.232446 , 1.200115,23.310123 , 4.133116,23.343538 , 32.705691,23.413900 , 10.540280,23.449118 , 18.100000,22.485440 , 19.600000
24.216126 , 4.188219,24.248099 , 1.200115,24.325097 , 4.133116,24.359092 , 32.689600,24.429096 , 10.540280,24.465094 , 18.100000,23.502087 , 19.600000
25.233127 , 4.188219,25.263097 , 1.200115,25.340093 , 4.134083,25.374093 , 32.689600,25.450731 , 10.540280,25.491172 , 18.100000,24.518090 , 19.600000
26.262209 , 4.188219,26.289183 , 1.200115,26.362280 , 4.133116,26.399966 , 32.689600,26.466120 , 10.540280,26.507090 , 18.100000,25.540187 , 19.600000
