time, Feed Pressure [bara],time, Permeate Pressure [bara],time, Retentate Pressure [bara],time, O_2  Permeate [%],time, O_2 Retentate [%],time, Flow Meter [l/min],time, Flow Controller Range (0-50 SLPM) [l/min]
0.847689 , 4.306158,0.826715 , 1.211716,0.907686 , 4.266523,0.930684 , 31.724137,0.973687 , 8.384081,1.009679 , 18.500000,0.020724 , 14.200000
1.879808 , 4.306158,1.845819 , 1.211716,1.947346 , 4.266523,1.963766 , 31.635636,1.988692 , 8.367990,2.032503 , 18.500000,1.037677 , 14.200000
2.923075 , 4.306158,2.880259 , 1.211716,2.962709 , 4.266523,2.979682 , 31.555181,3.003683 , 8.343853,3.049680 , 18.500000,2.070593 , 14.200000
3.938685 , 4.306158,3.897708 , 1.211716,3.977685 , 4.267489,3.994686 , 31.498863,4.018684 , 8.335808,4.065680 , 18.400000,3.086678 , 14.100000
4.959785 , 4.306158,4.921321 , 1.211716,4.992699 , 4.267489,5.009688 , 31.450589,5.053136 , 8.287534,5.097079 , 18.500000,4.103727 , 14.100000
5.975706 , 4.306158,5.938744 , 1.211716,6.007695 , 4.267489,6.024693 , 31.394271,6.068694 , 8.271443,6.113690 , 18.500000,5.128740 , 14.100000
6.990690 , 4.306158,6.955715 , 1.211716,7.022684 , 4.267489,7.039682 , 31.337952,7.083684 , 8.239261,7.136086 , 18.400000,6.144656 , 14.100000
8.005731 , 4.306158,7.972745 , 1.211716,8.041224 , 4.267489,8.059783 , 31.329907,8.101448 , 8.231216,8.169029 , 18.400000,7.167231 , 14.100000
9.021709 , 4.306158,8.989712 , 1.211716,9.056698 , 4.267489,9.075699 , 31.289679,9.116688 , 8.207079,9.185714 , 18.400000,8.201748 , 14.100000
10.036699 , 4.306158,10.006715 , 1.211716,10.071688 , 4.267489,10.090684 , 31.241406,10.150513 , 8.190988,10.213772 , 18.400000,9.217684 , 14.100000
11.061318 , 4.306158,11.023804 , 1.211716,11.105529 , 4.267489,11.132712 , 31.225315,11.177372 , 8.174897,11.230751 , 18.400000,10.233695 , 14.100000
12.076689 , 4.306158,12.040702 , 1.211716,12.126708 , 4.267489,12.147755 , 31.193133,12.192700 , 8.158806,12.246682 , 18.400000,11.249693 , 14.100000
13.091690 , 4.306158,13.057709 , 1.211716,13.148864 , 4.266523,13.166709 , 31.168996,13.212843 , 8.134670,13.263733 , 18.400000,12.266682 , 14.100000
14.123745 , 4.304224,14.103206 , 1.211716,14.167413 , 4.258789,14.192598 , 31.160951,14.228721 , 8.150761,14.279685 , 18.500000,13.289418 , 14.500000
15.139709 , 4.294557,15.120716 , 1.211716,15.185701 , 4.253955,15.207691 , 31.128769,15.243690 , 8.480627,15.296685 , 18.400000,14.305694 , 15.400001
16.162306 , 4.281990,16.138103 , 1.210749,16.208714 , 4.240421,16.224740 , 31.096586,16.259699 , 9.397816,16.328410 , 18.400000,15.322682 , 16.000000
17.186809 , 4.270389,17.158587 , 1.210749,17.224695 , 4.228821,17.240691 , 31.064404,17.274689 , 9.856411,17.344682 , 18.400000,16.358806 , 16.200001
18.202709 , 4.265556,18.177709 , 1.209782,18.239696 , 4.218187,18.255689 , 31.040268,18.289689 , 10.685100,18.363545 , 18.400000,17.375680 , 16.100000
19.222775 , 4.253955,19.204650 , 1.209782,19.255696 , 4.213354,19.271687 , 30.983949,19.318601 , 11.111512,19.404204 , 18.400000,18.420666 , 16.100000
20.241701 , 4.244288,20.225723 , 1.208816,20.270698 , 4.202720,20.286700 , 30.903494,20.333688 , 11.175876,20.420681 , 18.300001,19.446820 , 16.100000
21.258692 , 4.240421,21.242710 , 1.207849,21.285688 , 4.193053,21.301687 , 30.855221,21.348690 , 11.127603,21.447234 , 18.300001,20.463682 , 16.100000
22.275693 , 4.230754,22.259725 , 1.206882,22.316043 , 4.189186,22.341686 , 30.718447,22.391714 , 10.846010,22.463703 , 18.300001,21.479717 , 16.200001
23.292694 , 4.222054,23.276711 , 1.204949,23.331692 , 4.180485,23.356689 , 30.597764,23.406691 , 10.451780,23.479688 , 18.300001,22.495685 , 16.200001
24.312694 , 4.218187,24.297075 , 1.203982,24.346690 , 4.171785,24.376979 , 30.525354,24.440458 , 10.298915,24.496683 , 18.200001,23.511690 , 16.200001
25.332885 , 4.210453,25.316959 , 1.203015,25.375190 , 4.167918,25.394938 , 30.404672,25.454859 , 9.912730,25.512741 , 18.200001,24.527687 , 16.100000
26.349713 , 4.203686,26.333804 , 1.203015,26.390702 , 4.160184,26.410711 , 30.275943,26.470731 , 9.542636,26.529699 , 18.200001,25.544574 , 16.100000
27.366695 , 4.195953,27.350720 , 1.201082,27.409967 , 4.154384,27.428882 , 30.155261,27.486769 , 9.397816,27.555069 , 18.100000,26.560694 , 16.100000
28.402956 , 4.193053,28.386484 , 1.200115,28.445096 , 4.151484,28.460759 , 30.131124,28.502712 , 9.156451,28.571785 , 18.100000,27.595200 , 16.100000
29.419693 , 4.188219,29.403712 , 1.200115,29.460691 , 4.144717,29.476690 , 30.026532,29.518719 , 8.915085,29.588758 , 18.100000,28.626697 , 16.100000
30.444586 , 4.181452,30.421896 , 1.199149,30.480800 , 4.138917,30.496797 , 29.946077,30.534703 , 8.746129,30.615133 , 18.100000,29.649682 , 16.100000
31.461728 , 4.179519,31.441815 , 1.198182,31.496696 , 4.133116,31.512699 , 29.905849,31.549694 , 8.681765,31.631716 , 18.000000,30.667538 , 16.100000
32.476758 , 4.173718,32.458721 , 1.198182,32.511701 , 4.131183,32.527701 , 29.865622,32.565718 , 8.577173,32.654794 , 18.000000,31.684684 , 16.100000
33.491719 , 4.169852,33.475767 , 1.197215,33.526698 , 4.126350,33.542692 , 29.841485,33.591902 , 8.480627,33.683191 , 18.000000,32.711905 , 16.100000
34.508696 , 4.167918,34.492716 , 1.196248,34.541694 , 4.123449,34.557698 , 29.833440,34.607691 , 8.448445,34.699688 , 18.000000,33.728753 , 16.000000
